OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0040201,01-01-2022,CUST05086,Kavya Das,P003,Smartphone,Electronics,Samsung,1,18252.02,0,3285.36,116.08,21653.46,UPI,Delivered,Hyderabad,Telangana,India,SELLER0237
ORD0046060,01-01-2022,CUST06664,Rohit Joshi,P003,Smartphone,Electronics,Samsung,2,21165.59,0,2116.56,203.51,44651.25,UPI,Delivered,Pune,Maharashtra,India,SELLER0319
ORD0044393,01-01-2022,CUST01630,Arun Gupta,P004,Laptop,Electronics,HP,1,50880.09,0.2,7326.73,99.49,48130.29,Cash on Delivery,Delivered,Kolkata,West Bengal,India,SELLER0221
ORD0005883,01-01-2022,CUST06011,Divya Gupta,P017,Jeans,Clothing,Levis,4,2117.32,0,1016.31,135.38,9620.97,UPI,Delivered,Kochi,Kerala,India,SELLER0325
ORD0018866,01-01-2022,CUST03175,Nisha Kapoor,P018,Formal Shirt,Clothing,Van Heusen,2,1818.47,0.05,414.61,37.5,3907.2,UPI,Shipped,Vijayawada,Andhra Pradesh,India,SELLER0358
ORD0045277,01-01-2022,CUST06804,Pooja Rao,P001,Wireless Earbuds,Electronics,boAt,1,1425.95,0.1,231,204.46,1718.82,Debit Card,Cancelled,Mumbai,Maharashtra,India,SELLER0256
ORD0035533,01-01-2022,CUST08377,Nisha Nair,P009,Cookware Set,Home & Kitchen,Prestige,3,2538.26,0.15,776.71,152.21,7401.48,Debit Card,Returned,Mumbai,Maharashtra,India,SELLER0415
ORD0037563,01-01-2022,CUST00319,Sanjay Sharma,P012,Shampoo,Beauty,Dove,1,413.15,0.15,42.14,58.58,451.9,Cash on Delivery,Returned,Jaipur,Rajasthan,India,SELLER0476
ORD0013673,01-01-2022,CUST05825,Meena Kumar,P013,Office Chair,Furniture,Wakefit,2,7299.7,0,2627.89,111.1,17338.39,Net Banking,Delivered,Mysuru,Karnataka,India,SELLER0228
ORD0015650,01-01-2022,CUST04835,Kavya Verma,P007,Running Shoes,Sports,Adidas,3,3282.17,0,1181.58,80.13,11108.22,Amazon Pay,Delivered,Bhopal,Madhya Pradesh,India,SELLER0353
ORD0010739,01-01-2022,CUST02221,Rohit Singh,P008,Backpack,Bags,Skybags,5,1990.02,0.05,1701.47,39.88,11193.94,Amazon Pay,Shipped,Jaipur,Rajasthan,India,SELLER0445
ORD0018899,01-01-2022,CUST09201,Rohit Das,P014,Study Table,Furniture,Nilkamal,1,4845.66,0.1,785,20.75,5166.84,UPI,Delivered,Indore,Madhya Pradesh,India,SELLER0235
ORD0009382,01-01-2022,CUST03635,Divya Das,P014,Study Table,Furniture,Nilkamal,1,4768.3,0,858.29,235.02,5861.61,Amazon Pay,Returned,Bhubaneswar,Odisha,India,SELLER0375
ORD0009479,01-01-2022,CUST00165,Surya Patel,P013,Office Chair,Furniture,Wakefit,1,7512.46,0.2,1081.79,173.84,7265.6,Debit Card,Cancelled,Hyderabad,Telangana,India,SELLER0423
ORD0017325,01-01-2022,CUST00994,Surya Joshi,P002,Bluetooth Speaker,Electronics,JBL,2,2811.43,0,674.74,138.18,6435.78,Credit Card,Delivered,Hyderabad,Telangana,India,SELLER0128
ORD0021955,01-01-2022,CUST00874,Aishwarya Singh,P006,T-Shirt,Clothing,Puma,2,1037.41,0,103.74,200.3,2378.86,Amazon Pay,Cancelled,Nagpur,Maharashtra,India,SELLER0050
ORD0014131,01-01-2022,CUST08073,Sneha Das,P013,Office Chair,Furniture,Wakefit,1,6449.75,0,1160.96,187.08,7797.79,UPI,Delivered,Ranchi,Jharkhand,India,SELLER0406
ORD0041385,01-01-2022,CUST06349,Anjali Das,P019,Yoga Mat,Sports,Strauss,1,981.19,0.1,158.95,83.16,1125.18,UPI,Delivered,Bhopal,Madhya Pradesh,India,SELLER0218
ORD0008901,01-01-2022,CUST03535,Vijay Menon,P012,Shampoo,Beauty,Dove,4,398.76,0,79.75,120.13,1794.92,Amazon Pay,Delivered,Chennai,Tamil Nadu,India,SELLER0072
ORD0008560,01-01-2022,CUST05244,Rohit Bose,P008,Backpack,Bags,Skybags,3,1950.44,0.1,947.91,51.03,6265.13,Cash on Delivery,Delivered,Kolkata,West Bengal,India,SELLER0429
ORD0006777,01-01-2022,CUST02789,Nisha Kumar,P016,Power Bank,Electronics,Mi,2,1570.37,0,376.89,49.18,3566.81,UPI,Delivered,Chandigarh,Chandigarh,India,SELLER0078
ORD0023102,01-01-2022,CUST03684,Sanjay Kapoor,P003,Smartphone,Electronics,Samsung,2,19585.69,0,7050.85,61.3,46283.53,Credit Card,Shipped,Indore,Madhya Pradesh,India,SELLER0328
ORD0023101,01-01-2022,CUST03723,Aditya Reddy,P004,Laptop,Electronics,HP,1,52800.19,0.2,7603.23,91.59,49934.97,Credit Card,Delivered,Vadodara,Gujarat,India,SELLER0223
ORD0039566,01-01-2022,CUST06542,Kavya Iyer,P008,Backpack,Bags,Skybags,3,1746.56,0,943.14,46.87,6229.69,UPI,Delivered,Visakhapatnam,Andhra Pradesh,India,SELLER0433
ORD0009150,01-01-2022,CUST01751,Meena Sharma,P010,Mixer Grinder,Home & Kitchen,Philips,1,3063.68,0.05,145.52,194.1,3250.12,UPI,Delivered,Chandigarh,Chandigarh,India,SELLER0429
ORD0043369,01-01-2022,CUST04555,Pooja Patel,P005,Smartwatch,Electronics,Noise,2,4433.77,0.05,421.21,82.87,8928.24,Cash on Delivery,Delivered,Bhopal,Madhya Pradesh,India,SELLER0092
ORD0036652,01-01-2022,CUST06329,Rahul Joshi,P020,Air Fryer,Home & Kitchen,Pigeon,3,4574.9,0.05,651.92,41.58,13731.96,Credit Card,Pending,Bhubaneswar,Odisha,India,SELLER0297
ORD0039568,01-01-2022,CUST06244,Rohit Gupta,P020,Air Fryer,Home & Kitchen,Pigeon,1,4067.93,0.05,695.62,80.72,4640.87,Credit Card,Delivered,Thiruvananthapuram,Kerala,India,SELLER0429
ORD0000209,02-01-2022,CUST02812,Sneha Verma,P020,Air Fryer,Home & Kitchen,Pigeon,2,4055.37,0.15,827.3,79.98,7801.41,Debit Card,Pending,Visakhapatnam,Andhra Pradesh,India,SELLER0498
ORD0012717,02-01-2022,CUST01197,Vijay Das,P016,Power Bank,Electronics,Mi,1,1422.14,0,71.11,186.5,1679.75,UPI,Delivered,Kochi,Kerala,India,SELLER0289
ORD0044460,02-01-2022,CUST05371,Vijay Rao,P015,LED TV,Electronics,Sony,2,46193.11,0,11086.35,229.43,103702,Credit Card,Delivered,Jodhpur,Rajasthan,India,SELLER0414
ORD0016956,02-01-2022,CUST05954,Sanjay Nair,P002,Bluetooth Speaker,Electronics,JBL,2,3293.49,0.15,671.87,195.38,6466.18,UPI,Delivered,Vadodara,Gujarat,India,SELLER0116
ORD0033511,02-01-2022,CUST03196,Vijay Kapoor,P014,Study Table,Furniture,Nilkamal,1,5285.34,0.05,903.79,67.65,5992.51,UPI,Pending,Lucknow,Uttar Pradesh,India,SELLER0368
ORD0020925,02-01-2022,CUST04627,Anjali Iyer,P006,T-Shirt,Clothing,Puma,3,1007.77,0.1,489.78,105.38,3316.14,UPI,Delivered,Ahmedabad,Gujarat,India,SELLER0375
ORD0038076,02-01-2022,CUST02267,Sneha Kumar,P001,Wireless Earbuds,Electronics,boAt,1,1396.7,0.1,150.84,225.5,1633.37,UPI,Returned,Bengaluru,Karnataka,India,SELLER0463
ORD0026981,02-01-2022,CUST07285,Karthik Joshi,P005,Smartwatch,Electronics,Noise,3,3987.91,0.15,508.46,119.45,10797.08,Cash on Delivery,Delivered,Chandigarh,Chandigarh,India,SELLER0473
ORD0020157,02-01-2022,CUST09290,Aishwarya Menon,P002,Bluetooth Speaker,Electronics,JBL,1,2926.94,0,526.85,51.7,3505.49,Debit Card,Delivered,Warangal,Telangana,India,SELLER0298
ORD0033778,02-01-2022,CUST03420,Aditya Kapoor,P014,Study Table,Furniture,Nilkamal,1,5462.79,0.1,884.97,185.88,5987.36,Credit Card,Delivered,Coimbatore,Tamil Nadu,India,SELLER0339
ORD0022100,02-01-2022,CUST09059,Meena Rao,P020,Air Fryer,Home & Kitchen,Pigeon,2,4577.16,0,1098.52,92.09,10344.93,Debit Card,Delivered,Bhubaneswar,Odisha,India,SELLER0429
ORD0025064,02-01-2022,CUST00121,Mohammed Bose,P019,Yoga Mat,Sports,Strauss,1,897.64,0.1,145.42,239.29,1192.59,UPI,Delivered,Vijayawada,Andhra Pradesh,India,SELLER0404
ORD0018241,02-01-2022,CUST00639,Vijay Kumar,P001,Wireless Earbuds,Electronics,boAt,2,1572.67,0.15,320.82,86,3080.36,Cash on Delivery,Delivered,Delhi,Delhi,India,SELLER0083
ORD0025171,02-01-2022,CUST01090,Harish Rao,P020,Air Fryer,Home & Kitchen,Pigeon,1,4511.93,0.1,203.04,235.88,4499.66,Amazon Pay,Delivered,Lucknow,Uttar Pradesh,India,SELLER0291
ORD0036618,02-01-2022,CUST01521,Harish Reddy,P020,Air Fryer,Home & Kitchen,Pigeon,4,4441.47,0,888.29,132.8,18786.97,Debit Card,Delivered,Patna,Bihar,India,SELLER0461
ORD0033370,02-01-2022,CUST05702,Rohit Bose,P004,Laptop,Electronics,HP,3,57254.41,0,8588.16,22.08,180373.47,Credit Card,Delivered,Jaipur,Rajasthan,India,SELLER0049
ORD0016017,02-01-2022,CUST04498,Meena Kumar,P008,Backpack,Bags,Skybags,1,1787.6,0.05,305.68,231.82,2235.72,Amazon Pay,Delivered,Lucknow,Uttar Pradesh,India,SELLER0412
ORD0040525,02-01-2022,CUST00384,Sanjay Reddy,P013,Office Chair,Furniture,Wakefit,1,6777.81,0.2,271.11,136.86,5830.22,UPI,Pending,Dehradun,Uttarakhand,India,SELLER0123
ORD0003637,02-01-2022,CUST05044,Sanjay Joshi,P002,Bluetooth Speaker,Electronics,JBL,1,3209.6,0.25,288.86,205.44,2901.5,UPI,Shipped,Bhopal,Madhya Pradesh,India,SELLER0192
ORD0030853,02-01-2022,CUST06818,Karthik Das,P013,Office Chair,Furniture,Wakefit,2,7321.83,0.1,1581.52,184.69,14945.5,UPI,Delivered,Guwahati,Assam,India,SELLER0498
ORD0014929,02-01-2022,CUST07730,Divya Joshi,P012,Shampoo,Beauty,Dove,3,445.26,0.05,228.42,69.91,1567.32,Amazon Pay,Delivered,Dehradun,Uttarakhand,India,SELLER0475
ORD0020793,02-01-2022,CUST02024,Kavya Singh,P013,Office Chair,Furniture,Wakefit,3,6471.94,0.2,1863.92,229.43,17626.01,Credit Card,Delivered,Hyderabad,Telangana,India,SELLER0039
ORD0024479,02-01-2022,CUST01256,Pooja Joshi,P012,Shampoo,Beauty,Dove,3,386.31,0.15,118.21,165.19,1268.49,Net Banking,Delivered,Pune,Maharashtra,India,SELLER0499
ORD0008597,02-01-2022,CUST06459,Priya Reddy,P012,Shampoo,Beauty,Dove,2,411.55,0.05,93.83,187.57,1063.34,Amazon Pay,Delivered,Ahmedabad,Gujarat,India,SELLER0335
ORD0031858,02-01-2022,CUST01255,Karthik Iyer,P019,Yoga Mat,Sports,Strauss,1,961.97,0,173.15,143.82,1278.94,Cash on Delivery,Delivered,Patna,Bihar,India,SELLER0436
ORD0015491,02-01-2022,CUST04177,Nisha Singh,P002,Bluetooth Speaker,Electronics,JBL,3,2867.18,0,1032.18,153.22,9786.94,Credit Card,Delivered,Kolkata,West Bengal,India,SELLER0258
ORD0034612,02-01-2022,CUST00131,Anjali Singh,P005,Smartwatch,Electronics,Noise,1,4145.1,0.05,472.54,156.82,4567.2,UPI,Delivered,Patna,Bihar,India,SELLER0260
ORD0023127,02-01-2022,CUST00095,Sanjay Kapoor,P002,Bluetooth Speaker,Electronics,JBL,3,3211.1,0.15,1473.89,235.68,9897.88,UPI,Delivered,Chennai,Tamil Nadu,India,SELLER0368
ORD0039632,02-01-2022,CUST02836,Kavya Das,P015,LED TV,Electronics,Sony,5,42036.17,0.2,20177.36,127.25,188449.29,Credit Card,Delivered,Thiruvananthapuram,Kerala,India,SELLER0006
ORD0020583,02-01-2022,CUST05032,Vijay Menon,P020,Air Fryer,Home & Kitchen,Pigeon,2,4322.27,0.1,389,74.35,8243.44,Amazon Pay,Delivered,Chennai,Tamil Nadu,India,SELLER0112
ORD0013048,02-01-2022,CUST04676,Aditya Sharma,P019,Yoga Mat,Sports,Strauss,1,931.69,0.2,37.27,102.78,885.4,UPI,Delivered,Nagpur,Maharashtra,India,SELLER0434
ORD0044825,02-01-2022,CUST09808,Meena Verma,P007,Running Shoes,Sports,Adidas,3,3288.46,0.05,468.61,52.7,9893.42,Debit Card,Delivered,Patna,Bihar,India,SELLER0335
ORD0011982,02-01-2022,CUST09731,Anjali Verma,P002,Bluetooth Speaker,Electronics,JBL,1,2940.41,0.1,476.35,62.95,3185.67,Debit Card,Delivered,Visakhapatnam,Andhra Pradesh,India,SELLER0047
ORD0032240,02-01-2022,CUST09970,Nisha Patel,P007,Running Shoes,Sports,Adidas,4,3577.32,0.05,1631.26,83.4,15308.48,Debit Card,Delivered,Indore,Madhya Pradesh,India,SELLER0253
ORD0012164,03-01-2022,CUST05553,Aditya Singh,P002,Bluetooth Speaker,Electronics,JBL,1,2748,0.15,420.44,201.92,2958.16,Credit Card,Delivered,Vijayawada,Andhra Pradesh,India,SELLER0386
ORD0024253,03-01-2022,CUST04072,Priya Iyer,P012,Shampoo,Beauty,Dove,1,387.19,0.2,37.17,177.08,524,UPI,Delivered,Mysuru,Karnataka,India,SELLER0147
ORD0019425,03-01-2022,CUST08191,Mohammed Reddy,P020,Air Fryer,Home & Kitchen,Pigeon,1,4410.98,0.1,714.58,224.83,4909.29,UPI,Delivered,Indore,Madhya Pradesh,India,SELLER0488
ORD0010492,03-01-2022,CUST07743,Aditya Reddy,P011,Face Wash,Beauty,Himalaya,2,285.72,0,102.86,159.48,833.78,UPI,Delivered,Pune,Maharashtra,India,SELLER0268
ORD0002302,03-01-2022,CUST03491,Priya Kapoor,P012,Shampoo,Beauty,Dove,1,360.07,0.1,38.89,33.55,396.5,Cash on Delivery,Delivered,Kanpur,Uttar Pradesh,India,SELLER0136
ORD0036287,03-01-2022,CUST06190,Surya Bose,P010,Mixer Grinder,Home & Kitchen,Philips,4,3681.75,0.2,589.08,73,12443.68,Credit Card,Delivered,Bhopal,Madhya Pradesh,India,SELLER0210
ORD0049870,03-01-2022,CUST03750,Priya Gupta,P002,Bluetooth Speaker,Electronics,JBL,3,3229.16,0,1743.75,243.93,11675.16,Debit Card,Delivered,Bengaluru,Karnataka,India,SELLER0390
ORD0037572,03-01-2022,CUST04290,Karthik Kumar,P011,Face Wash,Beauty,Himalaya,1,323.39,0.05,55.3,37.77,400.29,Debit Card,Delivered,Delhi,Delhi,India,SELLER0331
ORD0039009,03-01-2022,CUST06210,Sneha Gupta,P013,Office Chair,Furniture,Wakefit,4,7417.39,0.05,1409.3,114.06,29709.44,Credit Card,Delivered,Chennai,Tamil Nadu,India,SELLER0197
ORD0048944,03-01-2022,CUST00485,Surya Rao,P002,Bluetooth Speaker,Electronics,JBL,1,3049.73,0.05,521.5,134.03,3552.77,Amazon Pay,Delivered,Nagpur,Maharashtra,India,SELLER0308
ORD0032599,03-01-2022,CUST04627,Anjali Iyer,P006,T-Shirt,Clothing,Puma,2,972.31,0.1,315.03,144.33,2209.52,UPI,Delivered,Vadodara,Gujarat,India,SELLER0236
ORD0043377,03-01-2022,CUST09604,Aishwarya Kumar,P005,Smartwatch,Electronics,Noise,2,4142.27,0,1491.22,54.83,9830.59,Debit Card,Shipped,Ranchi,Jharkhand,India,SELLER0181
ORD0032625,03-01-2022,CUST08898,Aditya Gupta,P017,Jeans,Clothing,Levis,1,2411.88,0.05,114.56,185.86,2591.71,Credit Card,Delivered,Nashik,Maharashtra,India,SELLER0062
ORD0035251,03-01-2022,CUST08396,Rohit Menon,P009,Cookware Set,Home & Kitchen,Prestige,1,2494.92,0,449.09,34.33,2978.34,Cash on Delivery,Delivered,Kochi,Kerala,India,SELLER0151
ORD0032691,03-01-2022,CUST03531,Harish Menon,P019,Yoga Mat,Sports,Strauss,1,822.23,0.25,74,149.7,840.37,Cash on Delivery,Delivered,Vijayawada,Andhra Pradesh,India,SELLER0182
ORD0043672,03-01-2022,CUST00522,Pooja Nair,P006,T-Shirt,Clothing,Puma,3,943.13,0.1,458.36,154.4,3159.21,Amazon Pay,Delivered,Delhi,Delhi,India,SELLER0278
ORD0036585,03-01-2022,CUST06827,Mohammed Gupta,P011,Face Wash,Beauty,Himalaya,2,323.35,0,32.34,107.08,786.12,Amazon Pay,Delivered,Chandigarh,Chandigarh,India,SELLER0257
ORD0018694,03-01-2022,CUST08115,Keerthi Iyer,P014,Study Table,Furniture,Nilkamal,1,5583.52,0.1,251.26,184.44,5460.87,Net Banking,Delivered,Patna,Bihar,India,SELLER0241
ORD0043053,03-01-2022,CUST03393,Rahul Bose,P012,Shampoo,Beauty,Dove,3,411.82,0.05,211.26,222.95,1607.9,UPI,Delivered,Bhubaneswar,Odisha,India,SELLER0132
ORD0038339,03-01-2022,CUST04513,Keerthi Kumar,P019,Yoga Mat,Sports,Strauss,2,982.96,0.05,336.17,145.01,2348.8,Amazon Pay,Delivered,Salem,Tamil Nadu,India,SELLER0022
ORD0045646,03-01-2022,CUST06284,Rahul Iyer,P018,Formal Shirt,Clothing,Van Heusen,1,1849.29,0.1,199.72,169.72,2033.8,Credit Card,Delivered,Warangal,Telangana,India,SELLER0276
ORD0002511,03-01-2022,CUST07417,Priya Gupta,P006,T-Shirt,Clothing,Puma,3,980.47,0.05,502.98,220.31,3517.63,Cash on Delivery,Delivered,Guwahati,Assam,India,SELLER0015
ORD0006523,03-01-2022,CUST04841,Sneha Nair,P007,Running Shoes,Sports,Adidas,1,3194.88,0.05,151.76,33.81,3220.71,Amazon Pay,Shipped,Chennai,Tamil Nadu,India,SELLER0018
ORD0004628,03-01-2022,CUST03850,Keerthi Verma,P003,Smartphone,Electronics,Samsung,1,18172.02,0.05,863.17,241.18,18367.77,Cash on Delivery,Delivered,Hyderabad,Telangana,India,SELLER0283
ORD0000067,03-01-2022,CUST04114,Karthik Kapoor,P012,Shampoo,Beauty,Dove,2,426.02,0.05,97.13,169.52,1076.09,Amazon Pay,Cancelled,Lucknow,Uttar Pradesh,India,SELLER0428
ORD0037315,03-01-2022,CUST08044,Kavya Verma,P019,Yoga Mat,Sports,Strauss,3,939.32,0.05,481.87,169.25,3328.18,Cash on Delivery,Returned,Nashik,Maharashtra,India,SELLER0035
ORD0010373,03-01-2022,CUST01459,Sneha Kapoor,P005,Smartwatch,Electronics,Noise,1,4473.02,0.1,724.63,184.43,4934.78,Net Banking,Delivered,Ahmedabad,Gujarat,India,SELLER0099
ORD0041083,03-01-2022,CUST04554,Kavya Patel,P010,Mixer Grinder,Home & Kitchen,Philips,4,3082.26,0.15,1257.56,129.4,11866.64,Debit Card,Cancelled,Mumbai,Maharashtra,India,SELLER0179
ORD0009250,03-01-2022,CUST01629,Kavya Joshi,P019,Yoga Mat,Sports,Strauss,1,967.9,0,48.4,76.26,1092.56,UPI,Delivered,Lucknow,Uttar Pradesh,India,SELLER0437
ORD0009863,03-01-2022,CUST08964,Meena Bose,P020,Air Fryer,Home & Kitchen,Pigeon,2,4545.47,0,454.55,97.27,9642.76,Debit Card,Delivered,Surat,Gujarat,India,SELLER0397
ORD0006506,03-01-2022,CUST00733,Priya Nair,P002,Bluetooth Speaker,Electronics,JBL,1,3338.13,0.2,320.46,67.91,3058.87,UPI,Delivered,Madurai,Tamil Nadu,India,SELLER0166
ORD0018679,03-01-2022,CUST02692,Rahul Verma,P002,Bluetooth Speaker,Electronics,JBL,2,3285.05,0.2,946.09,53.55,6255.72,UPI,Delivered,Vijayawada,Andhra Pradesh,India,SELLER0421
ORD0004877,03-01-2022,CUST02876,Anjali Gupta,P008,Backpack,Bags,Skybags,2,1879.98,0.05,642.95,90.21,4305.12,Amazon Pay,Delivered,Tiruchirappalli,Tamil Nadu,India,SELLER0414
ORD0027046,03-01-2022,CUST08579,Mohammed Gupta,P017,Jeans,Clothing,Levis,3,2213.85,0,796.99,34.6,7473.14,UPI,Delivered,Jaipur,Rajasthan,India,SELLER0033
ORD0047122,03-01-2022,CUST03870,Priya Das,P014,Study Table,Furniture,Nilkamal,1,5591.43,0.2,805.17,166.83,5445.14,Amazon Pay,Delivered,Dehradun,Uttarakhand,India,SELLER0437
ORD0015907,03-01-2022,CUST08220,Aditya Singh,P001,Wireless Earbuds,Electronics,boAt,4,1546.28,0.05,1057.66,112.29,7045.81,Credit Card,Delivered,Mysuru,Karnataka,India,SELLER0431
ORD0023431,03-01-2022,CUST04727,Anjali Kumar,P005,Smartwatch,Electronics,Noise,1,4415.21,0.05,755,31.62,4981.07,Cash on Delivery,Delivered,Noida,Uttar Pradesh,India,SELLER0169
ORD0011715,03-01-2022,CUST09999,Priya Bose,P014,Study Table,Furniture,Nilkamal,3,4843.52,0.1,653.88,57.3,13788.68,Net Banking,Delivered,Surat,Gujarat,India,SELLER0245
ORD0046847,03-01-2022,CUST07345,Anjali Bose,P006,T-Shirt,Clothing,Puma,1,981.86,0.05,167.9,47.71,1148.38,Credit Card,Delivered,Patna,Bihar,India,SELLER0152
ORD0047557,03-01-2022,CUST07465,Nisha Das,P006,T-Shirt,Clothing,Puma,1,939.87,0.05,160.72,125.22,1178.82,Debit Card,Delivered,Nagpur,Maharashtra,India,SELLER0095
ORD0007797,03-01-2022,CUST04132,Divya Nair,P011,Face Wash,Beauty,Himalaya,1,270.76,0,32.49,106.22,409.47,UPI,Delivered,Noida,Uttar Pradesh,India,SELLER0493
ORD0037271,04-01-2022,CUST01246,Meena Menon,P014,Study Table,Furniture,Nilkamal,1,4968.15,0.15,760.13,89.72,5072.78,Credit Card,Cancelled,Jaipur,Rajasthan,India,SELLER0015
ORD0033144,04-01-2022,CUST03443,Harish Kapoor,P011,Face Wash,Beauty,Himalaya,3,311.49,0.1,100.92,151.77,1093.71,Cash on Delivery,Delivered,Surat,Gujarat,India,SELLER0115
ORD0021083,04-01-2022,CUST04552,Sanjay Joshi,P012,Shampoo,Beauty,Dove,5,435.98,0.05,248.51,23.26,2342.68,Credit Card,Delivered,Patna,Bihar,India,SELLER0131
ORD0008858,04-01-2022,CUST06125,Pooja Menon,P010,Mixer Grinder,Home & Kitchen,Philips,3,3609.69,0.1,1169.54,215.98,11131.68,Debit Card,Returned,Bhubaneswar,Odisha,India,SELLER0377
ORD0037565,04-01-2022,CUST00429,Priya Menon,P007,Running Shoes,Sports,Adidas,4,3890.38,0,2801.07,195.96,18558.55,Credit Card,Pending,Guwahati,Assam,India,SELLER0121
ORD0004093,04-01-2022,CUST08266,Priya Kapoor,P003,Smartphone,Electronics,Samsung,3,18952.27,0,10234.23,112.64,67203.68,Debit Card,Delivered,Jodhpur,Rajasthan,India,SELLER0195
ORD0033121,04-01-2022,CUST04587,Meena Singh,P006,T-Shirt,Clothing,Puma,1,938.42,0,168.92,148,1255.34,Credit Card,Delivered,Nagpur,Maharashtra,India,SELLER0093
ORD0025346,04-01-2022,CUST02062,Arun Kumar,P003,Smartphone,Electronics,Samsung,2,20596.8,0,4943.23,66.52,46203.35,Cash on Delivery,Delivered,Nagpur,Maharashtra,India,SELLER0317
ORD0027676,04-01-2022,CUST02277,Priya Patel,P011,Face Wash,Beauty,Himalaya,1,292.6,0,52.67,45.49,390.76,Credit Card,Delivered,Nagpur,Maharashtra,India,SELLER0010
ORD0036288,04-01-2022,CUST05138,Arun Das,P009,Cookware Set,Home & Kitchen,Prestige,1,2298.88,0.2,220.69,142.24,2202.03,Debit Card,Delivered,Warangal,Telangana,India,SELLER0037
ORD0021819,04-01-2022,CUST08492,Anjali Sharma,P017,Jeans,Clothing,Levis,1,2322.15,0.15,236.86,100.28,2310.97,UPI,Cancelled,Ahmedabad,Gujarat,India,SELLER0393
ORD0010709,04-01-2022,CUST02976,Rahul Bose,P019,Yoga Mat,Sports,Strauss,1,933.4,0.15,142.81,180.48,1116.68,Debit Card,Delivered,Madurai,Tamil Nadu,India,SELLER0433
ORD0047930,04-01-2022,CUST06693,Harish Reddy,P017,Jeans,Clothing,Levis,3,2263.7,0.15,288.62,88.86,6149.91,UPI,Returned,Madurai,Tamil Nadu,India,SELLER0220
ORD0024608,04-01-2022,CUST01378,Rohit Nair,P014,Study Table,Furniture,Nilkamal,2,4560.97,0.25,820.97,143.5,7805.92,Credit Card,Delivered,Lucknow,Uttar Pradesh,India,SELLER0288
ORD0028508,04-01-2022,CUST00334,Rahul Menon,P017,Jeans,Clothing,Levis,2,1989.63,0.1,429.76,36.91,4048,Net Banking,Returned,Jodhpur,Rajasthan,India,SELLER0033
ORD0006980,04-01-2022,CUST06227,Divya Verma,P020,Air Fryer,Home & Kitchen,Pigeon,1,4663.52,0,559.62,30.26,5253.4,Cash on Delivery,Delivered,Kanpur,Uttar Pradesh,India,SELLER0417
ORD0039434,04-01-2022,CUST06946,Rahul Verma,P013,Office Chair,Furniture,Wakefit,2,7317.56,0.05,1668.4,52.63,15624.39,Debit Card,Cancelled,Thiruvananthapuram,Kerala,India,SELLER0443
ORD0018763,04-01-2022,CUST00297,Aishwarya Das,P013,Office Chair,Furniture,Wakefit,3,7325.02,0.1,2373.31,85.53,22236.39,Debit Card,Shipped,Mangaluru,Karnataka,India,SELLER0464
